symbol,asset_turnover,current_ratio,dividend_yield,eps,fut_return,on_bal_vol,operating_leverage,payout_ratio,price,price/book,price/cashflow,price/earnings,price/earnings/growth,profit_margin,roa,roe,ros,rsi,sector,stddev,stoch_osc,vol_roc,p/e,peg,p/b,p/cf
JBHT,1.70150749319,1.61408632707,1.08227164954,3.66,-0.0817778486769,-4200100.0,36.9977720767,0.229508196721,77.614525,2.89494796771,10.29001536,21.2061543716,1.3402289562799998,6.90464515908,11.748305475999999,32.8553345556,11.566498794500001,39.7827158435,Industrials,1.6160693428900001,81.30571896880001,-20.0,38.2404141672,-12.4255610222,40.0693782207,-21.179490329
CPB,0.999134627272,0.745545260157,2.48090488461,2.21,8.857882546,4629500.0,3.6172872916199994,0.564705882353,50.304226,2.9772111319200003,13.3067736125,22.762093212699998,-1.5514163531799998,8.54986389508,8.54246507603,50.2180232558,13.5486265776,42.3658649401,Consumer Staples,1.1171087404100002,22.516465126900002,-41.0,4.11913224056,-451.196144207,12.1618855308,-3.5567746677800005
TAP,0.41766656077200004,1.03417679921,1.8232627177400003,1.93,-2.1401050386700002,-7254700.0,2.08741844296,0.849740932642,89.948639,1.5072037852700002,23.9349761368,46.605512435200005,-1.5497736665200001,7.01135078207,2.92840676751,5.089833076130001,10.1766977415,53.3390390097,Consumer Staples,1.25082366092,67.4493328203,-65.0,113.18450228,-450.824287085,-43.218397707,73.4730269043
VRTX,0.413120304137,2.77901802907,0.0,-2.31,-26.5755403866,2449000.0,-0.418332509525,-0.0,130.360001,15.756653348699999,-85.9134981892,-56.4329008658,2.13493143034,-53.8907874955,-22.2633785203,-50.8704970977,-45.2254886006,65.530293243,Health Care,2.74066311925,83.2374692338,-64.0,-152.112002688,613.313910179,420.947513823,-510.78208669699995
BWA,0.90744783125,1.33003860349,1.232545555,2.7,-31.135787090999997,-7521600.0,0.733701104621,0.19259259259300002,42.18911,1.45844901991,10.8962727675,15.625596296300001,-2.79307533796,7.599212284380001,6.895888706669999,16.7892055624,11.7122843753,68.80609378189999,Consumer Discretionary,2.63686901503,80.80561958770001,-29.0,-37.1418226625,-720.144084629,-47.346790238000004,81.3244081908
UAL,0.9266537774410001,0.6305783792490001,0.0,19.47,-14.7294906585,7286700.0,-44.1524905915,0.0,56.990002000000004,0.753318175748,3.57637552495,2.9270673857200005,0.00518519192271,19.3851679696,17.9633391253,81.8648226634,13.6435664483,48.045422274399996,Industrials,2.37366460904,13.286743606,-31.0,-80.9187936385,-99.6611845525,-63.5513972423,-72.6053138124
WM,0.634751946716,0.9342629482070001,3.01984072615,1.65,-0.206113814181,1559200.0,1.49402659842,0.933333333333,50.996067,1.29167196849,9.26042965722,30.9067072727,-0.75640099378,5.809736903019999,3.6877418091000003,14.0301844606,15.778103541400002,54.1013795084,Industrials,1.2940197069200001,67.4419732057,-51.0,101.47717210100001,-149.425430156,-37.5036472124,-29.066015956100003
FIS,0.251065903277,1.48542662549,1.6649943879299998,2.19,0.115517101127,4639900.0,-4.76957955604,0.474885844749,62.462672999999995,0.743282682545,15.628549738699999,28.521768493200003,-4.189134747430001,9.57514556041,2.4039925691299997,6.713228728150001,16.6666666667,44.7675941578,Information Technology,1.5877977179,59.259149693699996,-62.0,-8.99606183869,-286.445094439,-77.6116616005,16.4151226356
GT,1.0002433238,1.23885414565,0.7314178825290001,1.12,-11.138107077799999,-19155200.0,-1.9376602431599999,0.223214285714,34.180187,0.8016603722229999,5.45623259861,30.5180241071,-0.349801895118,1.86705589004,1.86751018918,7.41187831965,12.2970260901,50.920358981199996,Consumer Discretionary,2.17932890789,57.4190773727,-47.0,22.766986612399997,-177.66621010900002,-71.0583015517,-9.20306714013
GS,0.0455168650851,,1.35819007229,12.14,-11.418727744000002,-18675800.0,,0.210049423394,187.74986299999998,,12.160187292,15.465392339400001,-0.535485288505,14.201183432,0.646393350321,6.42007194908,,59.684634849700004,Financials,2.06749982967,44.2160822921,-53.0,-6.442740431180001,-111.939397217,,10.3550751822
