asset_turnover,current_ratio,dividend_yield,eps,return,on_bal_vol,operating_leverage,payout_ratio,price,price/book,price/cashflow,price/earnings,price/earnings/growth,profit_margin,roa,roe,ros,rsi,stddev,stoch_osc,vol_roc,period
2.398094007,0.932218078,2.778525964,4.57,-0.525935272,13705649,14.94797591,0.42888402600000003,70.541,1.676890344,8.263042633,15.4356674,-1.623960841,3.070114957,7.362424279,17.57424262,5.036417656,43.23287652,1.13529633,82.71723476,32.0,2016-9-1
2.398094007,0.932218078,2.7974822660000003,4.57,-2.763227381,-5294412,14.94797591,0.42888402600000003,70.063,1.665527398,8.207050595,15.33107221,-1.612956555,3.070114957,7.362424279,17.57424262,5.036417656,56.29981263,0.9388962040000001,177.751004,-29.0,2016-10-1
2.398094007,0.932218078,2.900566794,4.57,1.413286372,13184365,14.94797591,0.42888402600000003,67.57300000000001,1.606335482,7.915376587000001,14.78621444,-1.555632978,3.070114957,7.362424279,17.57424262,5.036417656,48.65948913,1.121793685,31.59585862,-35.0,2016-11-1
2.398094007,0.932218078,2.842062525,4.57,-1.78498927,-51778546,14.94797591,0.42888402600000003,68.964,1.639402131,8.078315762,15.09059081,-1.587655908,3.070114957,7.362424279,17.57424262,5.036417656,40.89881219,0.9279515690000001,46.52305367,-24.0,2016-12-1
0.248057975,0.891881888,4.124226707,2.96,7.621487638,3746505,1.3228208959999999,0.668918919,48.00899999999999,0.546290865,25.61406726,16.21925676,0.612146142,12.56641195,3.1171987039999998,10.47967679,22.51114115,64.74120137,1.312338641,-6.242740999,56.0,2016-1-1
0.248057975,0.891881888,3.770710341,2.96,1.262616644,-63916,1.3228208959999999,0.668918919,52.51,0.597507412,28.01546942,17.73986486,0.669536835,12.56641195,3.1171987039999998,10.47967679,22.51114115,49.43624977,1.006890964,4.718614719,-39.0,2016-2-1
0.248057975,0.891881888,3.731624576,2.96,6.830003769,11019149,1.3228208959999999,0.668918919,53.06,0.603765821,28.30890892,17.92567568,0.676549695,12.56641195,3.1171987039999998,10.47967679,22.51114115,52.16844914,0.6737968529999999,-90.03670687,11.0,2016-3-1
0.248057975,0.891881888,3.4907706139999997,2.96,-3.159323707,-454908,1.3228208959999999,0.668918919,56.721000000000004,0.64542407,30.26214895,19.1625,0.723229839,12.56641195,3.1171987039999998,10.47967679,22.51114115,33.15441844,1.195897953,129.9836334,52.0,2016-4-1
0.248057975,0.891881888,3.591706423,2.96,3.8021296280000003,11212126,1.3228208959999999,0.668918919,55.126999999999995,0.6272860610000001,29.41170792,18.62398649,0.702905296,12.56641195,3.1171987039999998,10.47967679,22.51114115,39.37783873,1.0653743709999999,2.156952731,42.0,2016-5-1
0.248057975,0.891881888,3.4579716730000003,2.96,8.512198956,5240284,1.3228208959999999,0.668918919,57.25899999999999,0.651545932,30.54918613,19.34425676,0.73008969,12.56641195,3.1171987039999998,10.47967679,22.51114115,77.23321313,0.886329532,-84.20256992,58.0,2016-6-1
0.248057975,0.891881888,3.1616261619999997,2.96,-1.38121547,-4074479,1.3228208959999999,0.668918919,62.62600000000001,0.7126166290000001,33.41262213,21.15743243,0.79852245,12.56641195,3.1171987039999998,10.47967679,22.51114115,58.13865303,0.9314972779999999,121.2560386,-7.0,2016-7-1
0.248057975,0.891881888,3.22035001,2.96,-6.595211762000001,-2228606,1.3228208959999999,0.668918919,61.483999999999995,0.699621895,32.80333502,20.77162162,0.783961203,12.56641195,3.1171987039999998,10.47967679,22.51114115,40.23208549,1.170477844,156.8500539,31.0,2016-8-1
0.248057975,0.891881888,3.409032214,2.96,-1.122570204,1193963,1.3228208959999999,0.668918919,58.081,0.660899409,30.9877448,19.62195946,0.740570728,12.56641195,3.1171987039999998,10.47967679,22.51114115,49.45960762,1.3735449219999998,31.12898421,5.0,2016-9-1
0.248057975,0.891881888,3.497368142,2.96,1.169322076,-821824,1.3228208959999999,0.668918919,56.614,0.644206525,30.20506163,19.12635135,0.721865519,12.56641195,3.1171987039999998,10.47967679,22.51114115,60.58115473,1.0531239159999999,69.99093382,16.0,2016-10-1
0.248057975,0.891881888,3.5607027889999996,2.96,-2.58240869,-7892535,1.3228208959999999,0.668918919,55.607,0.6327479460000001,29.66780058,18.78614865,0.70902561,12.56641195,3.1171987039999998,10.47967679,22.51114115,49.78548342,1.651675419,84.22467882,-16.0,2016-11-1
0.248057975,0.891881888,3.6793399489999996,2.96,5.409373026,17044542,1.3228208959999999,0.668918919,53.81399999999999,0.612345531,28.7111878,18.18040541,0.686163688,12.56641195,3.1171987039999998,10.47967679,22.51114115,36.74982135,0.979271459,-65.42354822,-29.0,2016-12-1
0.271494941,1.167829907,0.0,0.54,5.843387745,-668967,-1.9812455430000002,0.0,42.27,2.289703722,5.755548288,78.27777778,-5.479444444,5.5399725260000015,1.5040745119999999,4.9510288000000005,8.978566708999999,71.07813047,1.856858273,46.76724138,65.0,2016-1-1
0.271494941,1.167829907,0.0,0.54,11.71150278,1492237,-1.9812455430000002,0.0,43.12,2.335746972,5.871285597000001,79.85185185,-5.58962963,5.5399725260000015,1.5040745119999999,4.9510288000000005,8.978566708999999,56.03433668,2.4250874159999998,17.34860884,84.0,2016-2-1
0.271494941,1.167829907,0.0,0.54,2.636382073,-86609,-1.9812455430000002,0.0,49.31,2.6710501669999998,6.714125527999999,91.31481481,-6.392037037,5.5399725260000015,1.5040745119999999,4.9510288000000005,8.978566708999999,60.10258155,2.239927716,68.59504132,43.0,2016-3-1
0.271494941,1.167829907,0.0,0.54,6.907502977,1011576,-1.9812455430000002,0.0,50.38,2.729010493,6.859818376000001,93.2962963,-6.530740741,5.5399725260000015,1.5040745119999999,4.9510288000000005,8.978566708999999,64.16939158,1.209702807,6.837606838,63.0,2016-4-1
0.271494941,1.167829907,0.0,0.54,2.281021898,612198,-1.9812455430000002,0.0,54.8,2.9684353910000003,7.4616523820000005,101.4814815,-7.103703704,5.5399725260000015,1.5040745119999999,4.9510288000000005,8.978566708999999,38.20466088,1.828085129,16.17647059,-9.0,2016-5-1
0.271494941,1.167829907,0.0,0.54,4.380453752,1342606,-1.9812455430000002,0.0,57.3,3.1038567130000003,7.802056231,106.1111111,-7.427777778,5.5399725260000015,1.5040745119999999,4.9510288000000005,8.978566708999999,42.55364893,1.999543163,31.65829146,-12.0,2016-6-1
0.271494941,1.167829907,0.0,0.54,6.789910159,1106366,-1.9812455430000002,0.0,57.88,3.13527446,7.881029924,107.18518519999999,-7.502962963,5.5399725260000015,1.5040745119999999,4.9510288000000005,8.978566708999999,42.37444534,0.989383962,-187.2483221,48.0,2016-7-1
0.271494941,1.167829907,0.0,0.54,1.030085023,46571,-1.9812455430000002,0.0,61.16,3.3129472360000003,8.327639775,113.25925929999998,-7.928148148,5.5399725260000015,1.5040745119999999,4.9510288000000005,8.978566708999999,60.406763,0.982140742,73.58490566,-50.0,2016-8-1
0.271494941,1.167829907,0.0,0.54,-5.168924178999999,-328938,-1.9812455430000002,0.0,64.23,3.47924462,8.745655702,118.94444440000001,-8.326111111,5.5399725260000015,1.5040745119999999,4.9510288000000005,8.978566708999999,47.72573473,1.370167631,103.5714286,97.0,2016-9-1
0.271494941,1.167829907,0.0,0.54,-2.400662252,-515288,-1.9812455430000002,0.0,60.4,3.271779153,8.224157005,111.85185190000001,-7.82962963,5.5399725260000015,1.5040745119999999,4.9510288000000005,8.978566708999999,70.34097618,1.6896291890000001,86.73469388,-18.0,2016-10-1
0.271494941,1.167829907,0.0,0.54,17.5955414,1703625,-1.9812455430000002,0.0,62.8,3.401783623,8.550944699999999,116.2962963,-8.140740741,5.5399725260000015,1.5040745119999999,4.9510288000000005,8.978566708999999,53.31510415,1.928924308,-334.5454545,-61.0,2016-11-1
0.271494941,1.167829907,0.0,0.54,-0.480439259,-302875,-1.9812455430000002,0.0,72.85,3.94617734,9.919368175,134.9074074,-9.443518519,5.5399725260000015,1.5040745119999999,4.9510288000000005,8.978566708999999,38.09982056,1.4738478130000001,55.73770492,12.0,2016-12-1
0.464906815,6.9869273010000015,0.0,6.41,-7.011891062999999,-6312411,1.6367885480000002,0.0,130.35,2.5406960119999997,16.727545199999998,20.33541342,1.511777445,24.0609701,11.18610897,22.65484596,28.80559079,52.99876033,1.754193844,126.8436578,-16.0,2016-1-1
0.464906815,6.9869273010000015,0.0,6.41,1.957627119,799654,1.6367885480000002,0.0,118.0,2.2999779780000003,15.14269531,18.40873635,1.368544215,24.0609701,11.18610897,22.65484596,28.80559079,53.46306378,1.265469795,31.63265306,-25.0,2016-2-1
0.464906815,6.9869273010000015,0.0,6.41,4.673490439,2569459,1.6367885480000002,0.0,126.03,2.456493429,16.17316855,19.66146646,1.461674809,24.0609701,11.18610897,22.65484596,28.80559079,52.68299122,0.7277249859999999,-39.31818182,22.0,2016-3-1
0.464906815,6.9869273010000015,0.0,6.41,-2.054330649,-2367316,1.6367885480000002,0.0,132.89,2.590204013,17.05349813,20.73166927,1.541235939,24.0609701,11.18610897,22.65484596,28.80559079,48.35232118,1.480490602,33.49693252,19.0,2016-4-1
0.464906815,6.9869273010000015,0.0,6.41,3.514449127,3071694,1.6367885480000002,0.0,132.88,2.5900091,17.05221485,20.7301092,1.541119961,24.0609701,11.18610897,22.65484596,28.80559079,55.43748415,0.800671137,-51.6025641,63.0,2016-5-1
0.464906815,6.9869273010000015,0.0,6.41,0.636805953,484519,1.6367885480000002,0.0,139.76,2.7241095110000004,17.93511098,21.80343214,1.620913047,24.0609701,11.18610897,22.65484596,28.80559079,50.17133226,1.492256435,89.0797546,112.0,2016-6-1
0.464906815,6.9869273010000015,0.0,6.41,12.30214811,2081558,1.6367885480000002,0.0,141.52,2.758414267,18.16096813,22.07800312,1.641325232,24.0609701,11.18610897,22.65484596,28.80559079,80.12340414,1.291818694,-53.79858657,19.0,2016-7-1
0.464906815,6.9869273010000015,0.0,6.41,0.063609185,2573768,1.6367885480000002,0.0,157.21,3.064233373,20.1744333,24.52574103,1.823295221,24.0609701,11.18610897,22.65484596,28.80559079,27.64432349,0.673117126,-2.2172949,70.0,2016-8-1
0.464906815,6.9869273010000015,0.0,6.41,1.472565465,839635,1.6367885480000002,0.0,156.19,3.0443522069999998,20.04353881,24.36661466,1.811465432,24.0609701,11.18610897,22.65484596,28.80559079,63.04588263,1.53085353,50.07587253,-36.0,2016-9-1
0.464906815,6.9869273010000015,0.0,6.41,-12.51807608,-5004915,1.6367885480000002,0.0,159.05,3.1000974360000004,20.41055668,24.81279251,1.844635233,24.0609701,11.18610897,22.65484596,28.80559079,27.58627235,2.767499613,106.3944909,51.0,2016-10-1
0.464906815,6.9869273010000015,0.0,6.41,-1.356106143,504492,1.6367885480000002,0.0,136.42,2.659008439,17.50649571,21.28237129,1.582176287,24.0609701,11.18610897,22.65484596,28.80559079,44.26756924,1.392704696,21.14285714,32.0,2016-11-1
0.464906815,6.9869273010000015,0.0,6.41,-0.252356565,-1996211,1.6367885480000002,0.0,134.73,2.626068076,17.28962151,21.01872075,1.56257595,24.0609701,11.18610897,22.65484596,28.80559079,23.88081334,0.966570006,6.538461538,-35.0,2016-12-1
0.041668033,,2.8488372089999996,2.16,-10.60755814,-5533710,,0.453703704,34.4,,7.9004068,15.92592593,34.24074074,18.26441861,0.761042398,7.852079848,,45.91574099,2.507316905,152.752809,-32.0,2016-1-1
0.041668033,,3.148189791,2.16,3.742490925,969711,,0.453703704,31.129,,7.149179165,14.41157407,30.98488426,18.26441861,0.761042398,7.852079848,,49.89684429,2.128315726,37.75265502,-55.0,2016-2-1
